Threat ID	CWE	Weakness	Attack Surface	Violation (CIA)	Impact	Severity	Attacker Profile	Description	Defenses	Risk Score
1	-	Sensitive data exposure - Device ID/serial no	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could gather more critical information regarding to internals of the device which makes easy to conduct other various attacks.		
2	-	Firmware/storage extraction - Insecure external media interfaces	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could copy the firmware/storage and even modify firmware if device allows to physically remove the storage media (SD Card, USB).		
3	-	Firmware/storage extraction - Download from the Web	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could download the firmware from the manufacturer's website if access to the firmware image without authentication is possible.		
4	-	Firmware/storage extraction - Insecure SPI interface	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the serial bus protocol SPI.		
5	-	Firmware/storage extraction - Insecure I2C interface	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the serial bus protocol I2C.		
6	-	Firmware/storage extraction - Insecure UART interface	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the serial interface UART.		
7	1324, 1191	Firmware/storage extraction - Insecure JTAG interface	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the debug interface JTAG.		
8	1324, 1191	Firmware/storage extraction - Insecure SWD interface	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the debug interface SWD.		
9	-	Firmware/storage extraction - Insecure SoC	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the other SoC (System on Chip) (i.e. Bluetooth).		
10	-	Firmware/storage extraction - Insecure eMMC chip	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware by tapping if it is stored an embedded Multi Media Card (eMMC) flash chip (embedded SD card). An attacker could dump the firmware by unsoldering chip then reading it with an adapter if it is stored in an embedded Multi Media Card (eMMC) flash chip (embedded SD card).		
11	1193	Backdoor firmware - Insecure UART interface	Device Physical Interfaces	I	Tampering	Medium	Local	An attacker could modify the firmware if access to the flash/EEPROM chip is not restricted through the serial interface UART.		
12	1191, 1193	Backdoor firmware - Insecure JTAG interface	Device Physical Interfaces	I	Tampering	Medium	Local	An attacker could modify the firmware if access to the flash/EEPROM chip is not restricted through the debug interface JTAG.		
13	1191, 1193	Backdoor firmware - Insecure SWD interface	Device Physical Interfaces	I	Tampering	Medium	Local	An attacker could modify the firmware if access to the flash/EEPROM chip is not restricted through the debug interface SWD.		
14	1274, 1242	Grant shell access - Insecure UART interface	Device Physical Interfaces	CI	Code execution	High	Local	An attacker could grant a command shell if access to the flash/EEPROM chip is not restricted through the serial interface UART.		
15	1274, 1242	Grant shell access - Insecure SPI interface	Device Physical Interfaces	CI	Code execution	High	Local	An attacker could grant a command shell if access to the flash/EEPROM chip is not restricted through the serial interface SPI.		
16	1191	Change code execution flow - Insecure JTAG/SWD interface	Device Physical Interfaces	CI	Code execution	High	Local	An attacker could debug the libraries/binaries and manipulate the execution flow of firmware if access to the flash/EEPROM chip is not restricted through the debug interface JTAG.		
17	1221	Reset to insecure state	Device Physical Interfaces	I	Tampering	Medium	Local	An attacker could misuse reset functionality of the device if resetting results in insecure state.		
18	798	Sensitive data exposure - Hardcoded credentials	Device Firmware	C	Senstive data disclosure	Low	Local	An attacker could reveal unchangable credentials including password, hash, private certificate, and API key from storage by reverse engineering and source code analysis.		
19	798	Sensitive data exposure - Backdoor accounts	Device Firmware	C	Senstive data disclosure	Low	Local	An attacker could discover (undocumented) backdoor account from non-volatile data by reverse engineering and source code analysis.		
20	321	Sensitive data exposure - Encryption keys and algorithms	Device Firmware	C	Senstive data disclosure	Low	Local	An attacker could identify encryption keys from both storage and memory by reverse engineering and source code analysis. An attacker could gain sensitive data if device has encrypted with the discovered keys.		
21	313	Sensitive data exposure - Other sensitive information	Device Firmware	C	Senstive data disclosure	Low	Local	An attacker could identify various sensitive data (i.e. URLs) from both storage and memory by reverse engineering and source code analysis. An attacker could gain sensitive data if device lacks of disk encryption.		
22	323	Sensitive data exposure - Static and same encryption keys	Device Firmware	C	Senstive data disclosure	Low	Local	An attacker could gain sensitive data of other devices if firmware uses static and same encryption keys.		
23	353	Configuration - Lack of data integrity checks	Device Firmware	I	Tampering	Medium	Local	An attacker could backdoor the firmware if firmware has insecure or lack of integrity checks.		
24	1266	Configuration - Lack of wiping device	Device Firmware	C	Senstive data disclosure	Low	Local	Lack of deprovisioning/decomissioning. Inability to wipe device's local data storage … <This should be triggered via device web page>		
25	-	Configuration - Insecure customization of OS platforms	Device Firmware	-	-	Low	Local	Insecure default settings or insufficient ability to harden the system by modifying configurations are the root cause of many vulnerabilities.		
26	-	Configuration - Lack of security configurability	Device Firmware	-	-	Low	Local	Insecure default settings or insufficient ability to harden the system by modifying configurations are the root cause of many vulnerabilities.		
27	276	Configuration - Insecure filesystem permissions	Device Firmware	-	-	Medium	Local	Insecure default settings or insufficient ability to harden the system by modifying configurations are the root cause of many vulnerabilities.		
28	-	Authentication bypass - Device to device	Device Firmware	-	Authentication bypass	Medium	Local	Disclosure or reusing of Sensitive data (session key, token, cookie, etc.) could cause authentication bypass.		
29	-	Authentication bypass - Device to mobile application	Device Firmware	-	Authentication bypass	Medium	Local	Disclosure or reusing of Sensitive data (session key, token, cookie, etc.) could cause authentication bypass.		
30	-	Authentication bypass - Device to cloud	Device Firmware	-	Authentication bypass	Medium	Local	Disclosure or reusing of Sensitive data (session key, token, cookie, etc.) could cause authentication bypass.		
31	1329	Update mechanism - Missing update mechanism	Device Firmware	-	-	Low	Local Network	Devices will eventually remain vulnerable as the device does not have the ability to update.		
32	-	Update mechanism - Lack of manual update	Device Firmware	-	-	Low	Local Network	Devices will remain vulnerable until an automatic update is triggered, during which time an attacker could compromise the device. (No ability to manually force an update check for the device)		
33	319	Update mechanism - Lack of transport encryption	Device Firmware	C	Senstive data disclosure	Low	Local Network	An attacker could capture firmware via a transparent proxy if network traffic is unencrypted. (Updates are transmitted over the network without using TLS or encrypting the update file itself)		
34	347	Update mechanism - Lack of signature on update file	Device Firmware	I	Tampering	Medium	Local Network	An attacker could backdoor the firmware if firmware update file has insecure or lack of digital signature.		
35	494	Update mechanism - Lack of update verification	Device Firmware	I	Tampering	Medium	Local Network	An attacker could backdoor the firmware if firmware update process has insecure or lack of integrity verification.		
36	306	Update mechanism - Lack of update authentication	Device Firmware	C	Senstive data disclosure	Low	Local Network	An attacker could download the firmware if firmware update process has insecure or lack of authentication.		
37	-	Update mechanism - Intercepting OTA update	Device Firmware	C	Senstive data disclosure	Low	Local Network	An attacker could capture firmware even from encrypted traffic if update mechanism is not secure against MitM attacks.		
38	-	Update mechanism - Backdoor firmware	Device Firmware	I	Tampering	High	Local Network	(Malicious firmware update). An attacker could backdoor the firmware/sensitive data 'on the fly' before reaching the device/hub if update mechanism is not secure against MitM attacks.		
39	276	Update mechanism - World writable update location	Device Firmware	I	Tampering	Medium	Local Network	An attacker could modify firmware if storage location for update files is world writable.		
40	1328	Update mechanism - Lack of anti-rollback mechanism	Device Firmware	I	Tampering	Medium	Local Network	An attacker could revert firmware back (firmware downgrade) to a vulnerable version if the device lacks of anti-rollback mechanism.		
41	319	Sensitive data exposure	Device Network Services	C	Senstive data disclosure	Low	Local Network	Any kind of senstive data that can be accessible.		
42	319	Lack of transport encryption	Device Network Services	C	Senstive data disclosure	Low	Local Network	Insecure network communication. Network services are not properly encrypted HTTPS to prevent eavesdropping or tampering senstive data by attackers.		
43	326 - 295	Insecure SSL/TLS issues	Device Network Services	C	Senstive data disclosure	Low	Local Network	Encryption is implemented however it is improperly configured or is not being properly updated, (e.g. expired and/or self-signed certificates, same certificate used on multiple devices, deprecated SSL versions)		
44	204	Authentication - Username enumeration	Device Network Services	C	Senstive data disclosure	Low	Local Network	Ability to collect a set of valid usernames by interacting with the authentication mechanism		
45	521	Authentication - Weak credentials	Device Network Services	C	Authentication bypass	Low	Local Network	Ability to set account passwords to '1234' or '123456' for example. Usage of pre-programmed (known) default passwords (deffpass.com (Publicly available) - IoT device default password lookup). Easily guessable credentials. Brute-force by dictionaries and rules		
46	307	Authentication - Improper account lockout	Device Network Services	-	-	Low	Local Network	Ability to continue sending authentication attempts after 3 - 5 failed login attempts		
47	640	Authentication - Weak password recovery	Device Network Services	-	Authentication bypass	Medium	Local Network	Insecure password reset/forgot mechanism could cause authentication bypass.		
48	269	Privilege escalation	Device Network Services	CI	Privilege escalation	High	Local Network	For example: Exposed services running as root		
49	-	Authentication bypass	Device Network Services	-	Authentication bypass	Medium	Local Network	Disclosure or reusing of Sensitive data (session key, token, cookie, etc.) could cause authentication bypass.		
50	400	Denial of Service (DoS)	Device Network Services	A	DoS	Low	Local Network	Service can be attacked in a way that denies service to that service or the entire device		
51	787	Buffer overflow	Device Network Services	CI	Code execution	High	Local Network	Buffer Overflow is one of the most common vulnerability shown in network services of devices.		
52	319	Sensitive data exposure	Device Web Interface	C	Senstive data disclosure	Low	Local Network	Any kind of senstive data that can be accessible.		
53	319	Lack of transport encryption	Device Web Interface	C	Senstive data disclosure	Low	Local Network	Insecure network communication. Web services are not properly encrypted HTTPS to prevent eavesdropping or tampering senstive data by attackers.		
54	326 - 295	Insecure SSL/TLS issues	Device Web Interface	C	Senstive data disclosure	Low	Local Network	Encryption is implemented however it is improperly configured or is not being properly updated, (e.g. expired and/or self-signed certificates, same certificate used on multiple devices, deprecated SSL versions)		
55	204	Authentication - Username enumeration	Device Web Interface	C	Senstive data disclosure	Low	Local Network	Ability to collect a set of valid usernames by interacting with the authentication mechanism		
56	521	Authentication - Weak credentials	Device Web Interface	C	Authentication bypass	Low	Local Network	Ability to set account passwords to '1234' or '123456' for example. Usage of pre-programmed (known) default passwords (deffpass.com (Publicly available) - IoT device default password lookup). Easily guessable credentials. Brute-force by dictionaries and rules		
57	307	Authentication - Improper account lockout	Device Web Interface	-	-	Low	Local Network	Ability to continue sending authentication attempts after 3 - 5 failed login attempts		
58	640	Authentication - Weak password recovery	Device Web Interface	-	Authentication bypass	Medium	Local Network	Insecure password reset/forgot mechanism could cause authentication bypass.		
59	308	Authentication - Lack of two-factor authentication	Device Web Interface	-	-	Low	Local Network	Lack of two-factor authentication mechanisms such as a security token or fingerprint scanner for login.		
60	-	Authentication bypass - Web application to cloud	Device Web Interface	-	Authentication bypass	Medium	Local Network	Disclosure or reusing of Sensitive data (session key, token, cookie, etc.) could cause authentication bypass.		
61	77	Command injection	Device Web Interface	CI	Code execution	High	Local Network	Unsanitized user input can cause arbitrary code execution.		
62	-	Direct object references	Device Web Interface	C	Senstive data disclosure	Low	Local Network	Access to unauthorized data.		
63	840	Business and logic flaws	Device Web Interface	CI	Code execution	High	Local Network	Any vulnerabilities that cause remote code execution or senstive data disclosure. OWASP Top 10 and testing guideline.		
64	319	Lack of transport encryption	Cloud (Web Interface)	C	Senstive data disclosure	Low	Remote Network	Insecure network communication. Cloud services are not properly encrypted HTTPS to prevent eavesdropping or tampering senstive data by attackers.		
65	326 - 295	Insecure SSL/TLS issues	Cloud (Web Interface)	C	Senstive data disclosure	Low	Remote Network	Encryption is implemented however it is improperly configured or is not being properly updated, (e.g. expired and/or self-signed certificates, same certificate used on multiple devices, deprecated SSL versions)		
66	204	Authentication - Username enumeration	Cloud (Web Interface)	C	Senstive data disclosure	Low	Remote Network	Ability to collect a set of valid usernames by interacting with the authentication mechanism		
67	521	Authentication - Weak credentials	Cloud (Web Interface)	C	Authentication bypass	Low	Remote Network	Ability to set account passwords to '1234' or '123456' for example. Usage of pre-programmed (known) default passwords (deffpass.com (Publicly available) - IoT device default password lookup). Easily guessable credentials. Brute-force by dictionaries and rules		
68	307	Authentication - Improper account lockout	Cloud (Web Interface)	-	-	Low	Remote Network	Ability to continue sending authentication attempts after 3 - 5 failed login attempts		
69	640	Authentication - Weak password recovery	Cloud (Web Interface)	-	Authentication bypass	Medium	Remote Network	Insecure password reset/forgot mechanism could cause authentication bypass.		
70	308	Authentication - Lack of two-factor authentication	Cloud (Web Interface)	-	-	Low	Remote Network	Lack of two-factor authentication mechanisms such as a security token or fingerprint scanner in senstive APIs.		
71	829	Vendor APIs - Inherent trust of cloud or mobile application	Cloud (API)	CI	Code executiom	High	Remote Network	Vendor or 3rd party APIs		
72	287	Vendor APIs - Authentication bypass	Cloud (API)	-	Authentication bypass	Medium	Remote Network	Disclosure or reusing of Sensitive data (session key, token, cookie, etc.) could cause authentication bypass.		
73	285	Vendor APIs - Authorization bypass	Cloud (API)	C	Privilege escalation	Medium	Remote Network	Insecure access controls		
74	912	Vendor APIs - Undocumented backdoor API calls	Cloud (API)	I	Tampering	Medium	Remote Network	Critical API call for testing/debugging purposes left accessible.		
75	359	Vendor APIs - User data disclosure	Cloud (API)	C	Senstive data disclosure	Low	Remote Network	Insufficient Privacy Protection: Encrypted PII sent + UnEncrypted PII sent. User’s personal information stored on the device or in the ecosystem that is used insecurely, improperly, or without permission. https://arxiv.org/abs/1705.06805		
76	359	Vendor APIs - Device information leakage	Cloud (API)	C	Senstive data disclosure	Low	Remote Network	User/device location disclosure: Requests to the device’s weather service (API) leaks the exact GPS coordinates of the device, since they were sent as part of unencrypted HTTP communications [EST-1].		
77	798	Sensitive data exposure - Hardcoded credentials	Mobile Application	C	Senstive data disclosure	Low	Local	An attacker could reveal unchangable credentials including password, hash, private certificate, and API key from storage by reverse engineering and source code analysis.		
78	321	Sensitive data exposure - Encryption keys and algorithms	Mobile Application	C	Senstive data disclosure	Low	Local	An attacker could identify encryption keys from both storage and memory by reverse engineering and source code analysis.		
79	311	Sensitive data exposure - Other sensitive information	Mobile Application	C	Senstive data disclosure	Low	Local	An attacker could identify various sensitive data (URLs) from both storage and memory by reverse engineering and source code analysis.		
80	204	Authentication - Username enumeration	Mobile Application	C	Senstive data disclosure	Low	Local	Ability to collect a set of valid usernames by interacting with the authentication mechanism		
81	521	Authentication - Weak credentials	Mobile Application	C	Authentication bypass	Low	Local	Ability to set account passwords to '1234' or '123456' for example. Usage of pre-programmed (known) default passwords (deffpass.com (Publicly available) - IoT device default password lookup). Easily guessable credentials. Brute-force by dictionaries and rules		
82	307	Authentication - Improper account lockout	Mobile Application	-	-	Low	Local	Ability to continue sending authentication attempts after 3 - 5 failed login attempts		
83	640	Authentication - Weak password recovery	Mobile Application	-	Authentication bypass	Low	Local	Insecure password reset/forgot mechanism could cause authentication bypass.		
84	308	Authentication - Lack of two-factor authentication	Mobile Application	-	-	Low	Local	Lack of two-factor authentication mechanisms such as a security token or fingerprint scanner for login.		
85		Authentication - Mobile application to cloud system	Mobile Application	-	Authentication bypass	Medium	Local	Disclosure or reusing of sensitive data (session key, token, cookie, etc.) could cause authentication bypass.		
86		Insecure authorization	Mobile Application	-	Privilege escalation	Medium	Local			
87		Implicitly trusted by device or cloud	Mobile Application	CI	Code execution	High	Local			
88	319	Lack of transport encryption	Mobile Application	C	Senstive data disclosure	Low	Local	Insecure network communication. Mobile applications are not properly encrypted HTTPS to prevent eavesdropping or tampering senstive data by attackers.		
89	326 - 295	Insecure SSL/TLS issues	Mobile Application	C	Senstive data disclosure	Low	Local	Encryption is implemented however it is improperly configured or is not being properly updated, (e.g. expired and/or self-signed certificates, same certificate used on multiple devices, deprecated SSL versions)		
90		Insecure data storage	Mobile Application	I	Tampering	Medium	Local			
91	1104	Outdated 3rd party libraries and SDKs	Mobile Application	CI	Code execution	High	Local	Known vulnerabilities in deprecated libraries.		
92	840	Business and logic flaws	Mobile Application	CI	Code exucution	High	Local	Insecure Device controlling commands		
93	-	Lack of health checks	Mobile Application	-	-	Low	Local	No check whether the device is working as it should. Insecure heartbeats		
94	319	Lack of transport encryption	Radio Communication	C	Senstive data disclosure	Low	Local Network	Insecure network communication. Attacker can extract sensitive information in clear text from radio packets.		
95	300	Insecure SSL/TLS issues	Radio Communication	I	Tampering	Medium	Local Network	Interception and modification. Attacker can intercept live radio communication and then modify the transmitted packets. Even TLS connections might be also vulnerable to MitM attacks, since certificate validation is missing. It allows the attackers to conduct additional attacks according to the context [EST-1].		
96	924-353-354-347	Lack of message integrity check	Radio Communication	I	Tampering	Medium	Local Network	The transmission protocol does not include a mechanism for verifying the integrity of the transmitted data, such as a checksum. Or it does not validate or incorrectly validates the integrity check values or checksums of a message (header or payload) which will allow modified or corrupted data in transmission.		
97	294	Replay signals	Radio Communication	I	Tampering	Medium	Local Network	Attacker can perform bit-flip attacks on encrypted network traffic. The intruder will first intercept an encrypted message and then alter the payload or header and retransmit the data packet. Actually performing replay attack which is possible when there is no verification and captured data can be re-transmitted. Some type of integrity check methods i.e. ICV are known as vulnerable.		
98	-	Jamming signals	Radio Communication	I	Tampering	Medium	Local Network	Due to some controls such as payload verification, a transmitted packet might not be re-transmitted again. For this cases, it is required jamming the signal first and capturing an "unused" radio packet. Then replay attack can be successfully performed.		
99	290	Spoofing signals	Radio Communication	-	Authentication bypass	Medium	Local Network	Attacker can present itself as a legitamate gateway or sensor in radio communication.		
100	400	Denial of service (DoS)	Radio Communication	A	DoS	Low	Local Network	Attacker can disrupt radio communication.		